id,status,name,also_known_as,aliases,type,founded,hq_country,hq_region,ownership,sector,segment,features,specialization,aum,parent_company,transactions_count,was_added,created_by,was_changed,modified_by,search_index,arc_website,IG_ID,ig_role
2097.0,IMPORTED,Adora.io,,,Strategic / CVC,2022.0,USA,North America,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,,0,21/06/2025 20:17,,21/06/2025 20:17,,,www.aldora.io/,2272,target
8833.0,IS INCOMPLETE,Adrian Colbert,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Adrian Colbert, notenoughinformation, notenoughinformation",,2215,participant
3074.0,IMPORTED,Adventure Box,STO: ADVBOX,Adventure Box (STO: ADVBOX),Strategic / CVC,2014.0,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,29/06/2025 13:48,,29/06/2025 13:48,,,,492,target
,TO BE CREATED,Adways,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Adways,,1769,participant
2935.0,ENABLED,Aether Games,,,Strategic / CVC,2021.0,USA,North America,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,29/06/2025 13:33,,29/08/2025 15:12,sergeyevdokimov1@gmail.com,"Aether Games, US, North America, https://www.aethergames.io/",https://www.aethergames.io/,2799,target
,TO BE CREATED,Affinity Esports Group,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Affinity Esports Group,,4161,lead
907.0,IMPORTED,Affyn,,,Strategic / CVC,2020.0,Singapore,Southeast Asia,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,21/06/2025 20:10,,21/06/2025 20:10,,,www.affyn.com,"1341, 1768","target, target"
10852.0,IS INCOMPLETE,Agileo Ventures,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:55,,30/08/2025 18:55,,"Agileo Ventures, notenoughinformation, notenoughinformation",,969,participant
1365.0,IMPORTED,Aiming,,,Strategic / CVC,2011.0,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,21/06/2025 20:13,,21/06/2025 20:13,,,,535,target
,TO BE CREATED,Air Street Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Air Street Capital,,4156,lead
2463.0,IMPORTED,AirConsole,,,Strategic / CVC,2015.0,Switzerland,Western Europe,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,21/06/2025 20:19,,21/06/2025 20:19,,,https://corp.airconsole.com/,3116,target
,IMPORTED,Airmergent,,,Strategic / CVC,2025.0,United Kingdom,Western Europe,Private,Gaming (Content & Development Publishing),Outsourcing/WFH,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Airmergent, United Kingdom, Western Europe",,4117,target
8045.0,IS INCOMPLETE,Airnow,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:52,,30/08/2025 18:52,,"Airnow, notenoughinformation, notenoughinformation",,1695,lead
,TO BE CREATED,Airship Interactive Management,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Airship Interactive Management,,4117,lead
1388.0,ENABLED,Akatsuki,TSE:3932,Akatsuki Inc. (TSE:3932),Strategic / CVC,2010.0,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,6,21/06/2025 20:13,,30/08/2025 19:06,sergeyevdokimov1@gmail.com,"Akatsuki, TSE:3932, JP, Eastern Asia, https://aktsk.jp/",,592,target
,TO BE CREATED,AlbionVC,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,AlbionVC,,"2677, 4070, 4072","lead, lead, participant"
9956.0,IS INCOMPLETE,Aleph VC,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Aleph VC,,4143,participant
8779.0,IS INCOMPLETE,Alesta Elektronik,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Alesta Elektronik, notenoughinformation, notenoughinformation",,2994,lead
9723.0,IS INCOMPLETE,Alexis Bonte,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,30/08/2025 18:54,,30/08/2025 18:54,,"Alexis Bonte, notenoughinformation, notenoughinformation",,1328,participant
9293.0,IS INCOMPLETE,Algorand,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,3,30/08/2025 18:53,,30/08/2025 18:53,,"Algorand, notenoughinformation, notenoughinformation",,2274,lead
9571.0,IS INCOMPLETE,Algorand Foundation,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Algorand Foundation, notenoughinformation, notenoughinformation",,2274,lead
10856.0,IS INCOMPLETE,Alinea Capital,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:55,,30/08/2025 18:55,,"Alinea Capital, notenoughinformation, notenoughinformation",,969,participant
8840.0,IS INCOMPLETE,Alkho Witherspoon,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Alkho Witherspoon, notenoughinformation, notenoughinformation",,2215,participant
3340.0,ENABLED,All In Games - Ghostrunner (IP sale),Ghostrunner,,Strategic / CVC,2020.0,Poland,Eastern Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,05/07/2025 18:35,,22/08/2025 20:09,sergeyevdokimov1@gmail.com,"All In Games - Ghostrunner (IP sale), Ghostrunner, PL, Eastern Europe, https://store.steampowered.com/app/1139900/Ghostrunner/",,947,target
10270.0,IS INCOMPLETE,All Star Capital,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:54,,30/08/2025 18:54,,"All Star Capital, notenoughinformation, notenoughinformation",,1286,participant
,TO BE CREATED,Alliance,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Alliance,https://alliance.xyz/,2114,participant
728.0,ENABLED,Allied Esports Entertainment,NasdaqCM:AESE,"Allied Esports Entertainment Inc.,Allied Esports Entertainment Inc. (NasdaqCM:AESE)",Strategic / CVC,2017.0,USA,North America,Private,Esports,,,Generalist,,VESPA Inc,0,21/06/2025 20:10,,14/08/2025 08:13,naumvano@gmail.com,"Allied Esports Entertainment, NasdaqCM:AESE, US, North America, https://www.alliedesports.gg/",https://www.alliedesports.gg/,"241, 3134","target, target"
,TO BE CREATED,Almedia,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Almedia,,4159,lead
3755.0,ENABLED,Alpaca VC,,,Strategic / CVC,2012.0,USA,North America,Private,,,,Generalist,,,2,23/08/2025 14:12,vsidv1777@gmail.com,23/08/2025 14:12,vsidv1777@gmail.com,"Alpaca VC, US, North America, https://alpaca.vc/",,3450,participant
2863.0,IMPORTED,Alpaka Games,,,Strategic / CVC,2024.0,Turkey,Middle East,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,21/06/2025 20:22,,21/06/2025 20:22,,,https://alpakagames.co/,4147,target
8848.0,IS INCOMPLETE,Alpha Sigma Capital,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Alpha Sigma Capital, notenoughinformation, notenoughinformation",,2215,participant
9832.0,IS INCOMPLETE,Alpha Wave Ventures,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:54,,30/08/2025 18:54,,"Alpha Wave Ventures, notenoughinformation, notenoughinformation",,2198,participant
954.0,IMPORTED,Alpha3D,,,Strategic / CVC,2018.0,Estonia,Baltic Countries,Private,Platform & Tech,,,Generalist,,,1,21/06/2025 20:11,,21/06/2025 20:11,,,https://www.alpha3d.io/,2997,target
9647.0,IS INCOMPLETE,AlphaCoin Fund,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,2,30/08/2025 18:54,,30/08/2025 18:54,,"AlphaCoin Fund, notenoughinformation, notenoughinformation",,1612,participant
9809.0,IS INCOMPLETE,Altered State Machine,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:54,,30/08/2025 18:54,,"Altered State Machine, notenoughinformation, notenoughinformation",,1982,participant
3527.0,ENABLED,Altos Ventures,,,Venture Capital & Accelerators,1996.0,USA,North America,Private,,,,Generalist,8000.0,,8,22/07/2025 09:38,vsidv1777@gmail.com,23/08/2025 11:35,naumvano@gmail.com,"Altos Ventures, US, North America, https://altos.vc/",,3864,lead
3581.0,ENABLED,Alumni Ventures,,,Venture Capital & Accelerators,2013.0,USA,North America,Private,,,,Generalist,1500.0,,17,24/07/2025 07:58,vsidv1777@gmail.com,24/07/2025 07:58,vsidv1777@gmail.com,"Alumni Ventures, US, North America, https://www.av.vc/?utm_campaign=AVG-OS&utm_source=linkedin&utm_medium=social&utm_content=AVG-OS-AVmainpage",,"4070, 4095","participant, participant"
9410.0,IS INCOMPLETE,Amazon's Alexa Fund,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,3,30/08/2025 18:53,,30/08/2025 18:53,,"Amazon's Alexa Fund, notenoughinformation, notenoughinformation",,2882,participant
563.0,ENABLED,Amber,Amber Group,ambergroup.io,Strategic / CVC,2013.0,Romania,Eastern Europe,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,,10,21/06/2025 20:09,,30/08/2025 13:26,sergeyevdokimov1@gmail.com,"Amber, Amber Group, RO, Eastern Europe, https://amberstudio.com/",https://amberstudio.com/,2367,target
2746.0,IMPORTED,Amplitude Studios,,,Strategic / CVC,2011.0,France,Western Europe,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,1,21/06/2025 20:21,,21/06/2025 20:21,,,https://www.amplitude-studios.com/,4048,target
,IMPORTED,Anchor Node,,,Strategic / CVC,2023.0,South Korea,Asia,Private,Platform & Tech,Platform & Tech,AI/ML,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,"Anchor Node, South Korea, Asia",https://anchornode.io/,3178,target
,TO BE CREATED,Andover,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Andover,,2756,participant
,TO BE CREATED,Angular Ventures,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Angular Ventures,,4092,lead
1669.0,ENABLED,Animal,,,Strategic / CVC,2000.0,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,21/06/2025 20:15,,30/08/2025 19:09,sergeyevdokimov1@gmail.com,"Animal, US, North America, https://animalmade.com/",https://animalmade.com/,1284,target
3472.0,ENABLED,Anime Last Stand (IP sale),Anime Last Stand,,Strategic / CVC,2024.0,USA,North America,Private,,,,Generalist,,,0,21/07/2025 12:07,naumvano@gmail.com,22/08/2025 20:06,sergeyevdokimov1@gmail.com,"Anime Last Stand (IP sale), Anime Last Stand, US, North America, https://discord.com/invite/animelaststand",https://discord.com/invite/animelaststand,3327,target
314.0,ENABLED,Animoca Brands,ASX:AB1,"Animoca Brands (ASX: AB1),Animoca Brands (Blowfish Studios),Animoca Brands Corporation Limited,Animoca Brands Japan",Strategic / CVC,2014.0,Hong Kong,Eastern Asia,Public,Platform & Tech,,Blockchain/web3,Generalist,,,148,03/05/2025 16:27,naumvano@gmail.com,29/08/2025 15:54,sergeyevdokimov1@gmail.com,"Animoca Brands, ASX:AB1, HK, Eastern Asia, https://www.animocabrands.com/",https://www.animocabrands.com/,"1070, 1186, 2198, 2286, 2348, 2096, 429, 1254, 1488, 1851, 1986, 3360, 3450, 4062, 4134, 2984","target, target, target, target, target, target, participant, lead, lead, lead, participant, lead, lead, participant, participant, lead"
1009.0,IMPORTED,AnotherBall,,,Strategic / CVC,2020.0,Singapore,Southeast Asia,Private,Platform & Tech,,Blockchain/web3,Generalist,,,0,21/06/2025 20:11,,21/06/2025 20:11,,,https://anotherball.com/,2811,target
2786.0,IMPORTED,Antistatic Studios,,,Strategic / CVC,2021.0,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,21/06/2025 20:22,,21/06/2025 20:22,,,https://www.antistaticstudios.net/,3848,target
444.0,IMPORTED,Anubis Gaming,,,Strategic / CVC,2015.0,Egypt,Northern Africa,Private,Esports,,,Generalist,,,0,21/06/2025 20:09,,21/06/2025 20:09,,,,"367, 423","target, target"
3428.0,IMPORTED,Aone Games,,,Strategic / CVC,2020.0,India,Southern and Central_Asia,Private,Other,,Cash/Skill-based/RMG,Generalist,,,0,06/07/2025 10:13,,06/07/2025 10:13,,"Aone Games, IN, Southern and Central_Asia",www.awongamez.com,1344,target
1030.0,IMPORTED,Aonic Group,,,Strategic / CVC,2021.0,Sweden,Nordic Countries,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,6,21/06/2025 20:11,,21/06/2025 20:11,,,https://aonic.co/,"3110, 2867","target, lead"
,TO BE CREATED,Aperture Venture Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Aperture Venture Capital,,4172,lead
3575.0,ENABLED,Apex Capital,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Apex Capital Partners,,2215,participant
1863.0,IMPORTED,Apogee,,,Strategic / CVC,1985.0,USA,North America,Private,Gaming (Content Development/Publishing),PC/Console,,Generalist,,,0,21/06/2025 20:16,,21/06/2025 20:16,,,https://www.apogeeent.com/,1747,target
1875.0,IMPORTED,AppQuantum,,,Strategic / CVC,2017.0,Russia,Eastern Europe,Private,Gaming (Content Development/Publishing),Mobile,,Generalist,,,0,21/06/2025 20:16,,21/06/2025 20:16,,,https://appquantum.com/,1776,target
8084.0,IS INCOMPLETE,AppWorks Fund,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,4,30/08/2025 18:52,,30/08/2025 18:52,,"AppWorks Fund, notenoughinformation, notenoughinformation",,"1070, 1186","participant, participant"
3375.0,IMPORTED,Appier,TSE: 4180,Appier (TSE: 4180),Strategic / CVC,2012.0,China,Eastern Asia,Private,Platform & Tech,,AI/ML,Generalist,,,0,05/07/2025 18:36,,05/07/2025 18:36,,"Appier, TSE: 4180, CN, Eastern Asia, https://www.appier.com/en/",,939,target
1494.0,IMPORTED,Appirits,JASDAQ:4174,Appirits (JASDAQ:4174),Strategic / CVC,2000.0,Japan,Eastern Asia,Private,Gaming (Content Development/Publishing),Outsourcing/WFH,,Generalist,,,0,21/06/2025 20:14,,21/06/2025 20:14,,,,836,target
126.0,ENABLED,AppLovin,NasdaqGS:APP,"Applovin Corp (NASDAQ: APP),AppLovin (NasdaqGS:APP)",Strategic / CVC,2012.0,USA,North America,Public,Platform & Tech,,,Generalist,,,10,15/04/2025 11:05,naumvano@gmail.com,28/08/2025 20:21,sergeyevdokimov1@gmail.com,"AppLovin, NasdaqGS:APP, US, North America, https://www.applovin.com/",,"66, 68, 2047","lead, participant, lead"
765.0,IMPORTED,AppsFlyer,,,Strategic / CVC,2011.0,USA,North America,Private,Platform & Tech,,,Generalist,,,1,21/06/2025 20:10,,21/06/2025 20:10,,,,593,target
,TO BE CREATED,Aptos,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Aptos,,2711,lead
7919.0,IS INCOMPLETE,Aptos Labs,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,8,30/08/2025 18:52,,30/08/2025 18:52,,"Aptos Labs, notenoughinformation, notenoughinformation",,"3763, 4132","lead, participant"
8990.0,IS INCOMPLETE,Aquanow,,,TestType,1800.0,notenoughinformation,notenoughinformation,Private,,,,Generalist,,,1,30/08/2025 18:53,,30/08/2025 18:53,,"Aquanow, notenoughinformation, notenoughinformation",,3356,participant
964.0,IMPORTED,Aquiris,,,Strategic / CVC,2007.0,Brazil,South America,Private,Gaming (Content Development/Publishing),Multiplatform/Web,,Generalist,,,0,21/06/2025 20:11,,21/06/2025 20:11,,,http://www.aquiris.com.br/en/,"2005, 2772","target, target"
,TO BE CREATED,Arbitrum Foundation Grant Program,,,Investor,,,,Private,,,,Generalist,,,0,05/09/2025 01:23,,05/09/2025 01:23,,Arbitrum Foundation Grant Program,,3842,lead
